file_number,merge_key,file_name,author_from_filename,author_from_catalog,title_from_filename,title_from_catalog,genre,source,year,year_clean,original_year,file_size_kb,encoding,_merge,language,cyrillic_ratio,has_mk_chars,has_sq_chars,detection_method,langdetect_result,genre_detected,genre_final,detection_notes,is_fiction,is_original_mk,text_category
63,63,63 Ефтим Клетников - Ангелот од Курбиново.txt,Ефтим Клетников,Клетников Ефтим,Ангелот од Курбиново,Ангелот од Курбиново,Поезија,НИД „МИКЕНА“ - Битола,2008,,,207.69,UTF-8-SIG,both,mk,0.9993,True,False,cyrillic_dominant + mk_specific_chars,mk,Поезија,Поезија,"средняя длина строки: 25.1, медиана: 25; каталог: Поезија",True,True,original_mk
64,64,64 Петре Бакевски - Небесен оган.txt,Петре Бакевски,Бакевски Петре,Небесен оган,Небесен оган,Поезија,НИД „МИКЕНА“ - Битола,2008,,,308.12,UTF-8-SIG,both,mk,0.9993,True,False,cyrillic_dominant + mk_specific_chars,mk,Поезија,Поезија,"средняя длина строки: 35.8, медиана: 39; каталог: Поезија",True,True,original_mk
65,65,65 Чачански Крсте На небото книга.txt,Чачански Крсте,Чачански Крсте,На небото книга,На небото книга,Проза,НИД „МИКЕНА“ - Битола,2008,2000.0,2000,441.67,UTF-8-SIG,both,mk,1.0,True,False,cyrillic_dominant + mk_specific_chars,mk,Проза,Проза,жанр из каталога совпал или нет особых маркеров,True,True,original_mk
66,66,66 Манчев Васе Шупливи ореви.txt,Манчев Васе,Манчев Васе,Шупливи ореви,Шупливи ореви,Проза,НИД „МИКЕНА“ - Битола,2008,,/,496.71,UTF-8-SIG,both,mk,1.0,True,False,cyrillic_dominant + mk_specific_chars,mk,Проза,Проза,жанр из каталога совпал или нет особых маркеров,True,True,original_mk
67,67,67 Ристо Лазаров - Жива Рана.txt,Ристо Лазаров,Лазаров Ристо,Жива Рана,Жива рана,Поезија,НИД „МИКЕНА“ - Битола,2008,,,165.35,UTF-8-SIG,both,mk,1.0,True,False,cyrillic_dominant + mk_specific_chars,mk,Поезија,Поезија,"средняя длина строки: 26.5, медиана: 25; каталог: Поезија",True,True,original_mk
68,68,68 Крстески Трајче Силјан повторно лета.txt,Крстески Трајче,Крстевски Трајче,Силјан повторно лета,Силјан повторно лета,Проза,НИД „МИКЕНА“ - Битола,2008,1994.0,1994,225.49,UTF-8-SIG,both,mk,1.0,True,False,cyrillic_dominant + mk_specific_chars,mk,Проза,Проза,жанр из каталога совпал или нет особых маркеров,True,True,original_mk
69,69,69 Колбе Кица Снегот во Казабланка.txt,Колбе Кица,Колбе Кица,Снегот во Казабланка,Снегот во Казабланка,Проза,НИД „МИКЕНА“ - Битола,2008,2006.0,2006,1412.12,UTF-8-SIG,both,mk,0.9861,True,False,cyrillic_dominant + mk_specific_chars,mk,Проза,Проза,жанр из каталога совпал или нет особых маркеров,True,True,original_mk
70,70,70 Михајловски Драги - Избор.txt,Михајловски Драги,Михајловски Драги,Избор,Избор,Проза,НИД „МИКЕНА“ - Битола,2008,,/,805.5,UTF-8-SIG,both,mk,0.9994,True,False,cyrillic_dominant + mk_specific_chars,mk,Проза,Проза,жанр из каталога совпал или нет особых маркеров,True,True,original_mk
71,71,71 Катица Ќулафкова - Ерато.txt,Катица Ќулафкова,Ќулавкова Катица,Ерато,Ерато,Поезија,НИД „МИКЕНА“ - Битола,2008,,,302.03,UTF-8-SIG,both,mk,0.9973,True,False,cyrillic_dominant + mk_specific_chars,mk,Поезија,Поезија,"средняя длина строки: 24.0, медиана: 23; каталог: Поезија",True,True,original_mk
72,72,72 Глигор Стојковски - Капката оловна вода.txt,Глигор Стојковски,Стојковски Глигор,Капката оловна вода,Капката оловна вода,Поезија,НИД „МИКЕНА“ - Битола,2008,,,163.05,UTF-8-SIG,both,mk,0.9961,True,False,cyrillic_dominant + mk_specific_chars,mk,Поезија,Поезија,"средняя длина строки: 22.6, медиана: 22; каталог: Поезија",True,True,original_mk
